,date_time,close
0,2017/11/17 15:35,54.323 
1,2017/11/17 15:40,54.320 
2,2017/11/17 15:45,54.190 
3,2017/11/17 15:50,54.170 
4,2017/11/17 15:55,54.184 
5,2017/11/17 16:00,54.265 
6,2017/11/17 16:05,54.200 
7,2017/11/17 16:10,54.155 
8,2017/11/17 16:15,54.190 
9,2017/11/17 16:20,54.205 
10,2017/11/17 16:25,54.230 
11,2017/11/17 16:30,54.220 
12,2017/11/17 16:35,54.220 
13,2017/11/17 16:40,54.280 
14,2017/11/17 16:45,54.240 
15,2017/11/17 16:50,54.170 
16,2017/11/17 16:55,54.180 
