,date_time,close
0,2017/11/17 15:35,26.552 
1,2017/11/17 15:40,26.552 
2,2017/11/17 15:45,26.388 
3,2017/11/17 15:50,26.378 
4,2017/11/17 15:55,26.383 
5,2017/11/17 16:00,26.452 
6,2017/11/17 16:05,26.373 
7,2017/11/17 16:10,26.388 
8,2017/11/17 16:15,26.369 
9,2017/11/17 16:20,26.388 
10,2017/11/17 16:25,26.467 
11,2017/11/17 16:30,26.482 
12,2017/11/17 16:35,26.492 
13,2017/11/17 16:40,26.527 
14,2017/11/17 16:45,26.522 
15,2017/11/17 16:50,26.547 
16,2017/11/17 16:55,26.567 
