,date,econ_status
0,1980/1/1,recession
1,1980/8/1,normal
2,1981/7/1,recession
3,1982/12/1,normal
4,1990/7/1,recession
5,1991/4/1,normal
6,2001/3/1,recession
7,2001/12/1,normal
8,2007/12/1,recession
9,2009/7/1,normal
